TrackName,ArtistName,PlayedAt
Under You,Foo Fighters,07/08/2025 20:15:20
NEW DARLING,maretu,07/08/2025 19:53:03
DARE (feat. Shaun Ryder & Roses Gabor),Gorillaz,07/08/2025 19:48:58
SUBROSA,BUCK-TICK,07/08/2025 19:44:03
She's a Handsome Woman,Panic! at the Disco,07/08/2025 19:42:08
She's a Handsome Woman,Panic! at the Disco,07/08/2025 19:38:56
She's a Handsome Woman,Panic! at the Disco,07/08/2025 19:35:43
She's a Handsome Woman,Panic! at the Disco,07/08/2025 19:32:30
She's a Handsome Woman,Panic! at the Disco,07/08/2025 19:29:17
She's a Handsome Woman,Panic! at the Disco,07/08/2025 19:26:04
She's a Handsome Woman,Panic! at the Disco,07/08/2025 19:22:52
She's a Handsome Woman,Panic! at the Disco,07/08/2025 19:19:37
She's a Handsome Woman,Panic! at the Disco,07/08/2025 19:16:24
She's a Handsome Woman,Panic! at the Disco,07/08/2025 19:13:12
She's a Handsome Woman,Panic! at the Disco,07/08/2025 19:09:59
She's a Handsome Woman,Panic! at the Disco,07/08/2025 19:06:46
She's a Handsome Woman,Panic! at the Disco,07/08/2025 19:03:33
She's a Handsome Woman,Panic! at the Disco,07/08/2025 19:00:20
She's a Handsome Woman,Panic! at the Disco,07/08/2025 18:57:08
She's a Handsome Woman,Panic! at the Disco,07/08/2025 18:53:55
She's a Handsome Woman,Panic! at the Disco,07/08/2025 18:50:42
She's a Handsome Woman,Panic! at the Disco,07/08/2025 18:47:29
She's a Handsome Woman,Panic! at the Disco,07/08/2025 18:44:16
She's a Handsome Woman,Panic! at the Disco,07/08/2025 18:41:05
Swimming,Lunar Vacation,07/08/2025 17:42:58
"Violin Concerto in D Major, Op. 61: III. Rondo - Allegro",Ludwig van Beethoven,07/08/2025 17:32:46
Artificial Love,EXO,07/08/2025 17:27:23
Shoulda,Trisha Paytas,07/08/2025 17:23:41
Weird Fishes / Arpeggi,Radiohead,07/08/2025 17:20:10
Weird Fishes / Arpeggi,Radiohead,07/08/2025 17:14:52
Summerlove (feat. Anabelle) - Scorccio Edit,S-Connection,07/08/2025 17:07:39
Summerlove (feat. Anabelle) - Scorccio Edit,S-Connection,07/08/2025 17:03:21
Vice,The Crystal Method,07/08/2025 15:44:04
Vice,The Crystal Method,07/08/2025 15:40:14
slatnoslime,Letoa,07/08/2025 15:33:29
Love-15,Carter Vail,07/08/2025 15:30:08
Parting Gift,Fiona Apple,07/08/2025 15:26:33
Walking On Sunshine,Katrina & The Waves,07/08/2025 15:22:33
Lollipop,The Chordettes,07/08/2025 15:20:22
醜,No Party For Cao Dong,07/08/2025 15:18:23
Anarchy Rainbow (From Splatoon 3) - Y-MIX,YeLL0,07/08/2025 15:13:16
"Save Yourself, I'll Hold Them Back",My Chemical Romance,07/08/2025 15:09:25
TKN (feat. Travis Scott),ROSALÍA,07/08/2025 15:07:13
Everlong,Foo Fighters,07/08/2025 15:00:12
WooWa,DIA,07/08/2025 14:56:12
WOOWA (Instrumental) (Instrumental),Dia,07/08/2025 14:52:42
DJANGO,ATEEZ,07/08/2025 14:49:30
Enoch Drebber - Rondo of Science and Magic,Yasumasa Kitagawa,07/08/2025 14:47:31
XO,Fall Out Boy,07/08/2025 14:43:09
WooWa,DIA,07/08/2025 14:39:01
WooWa,DIA,07/08/2025 14:35:28
WooWa,DIA,07/08/2025 14:31:58
DJANGO,ATEEZ,07/08/2025 14:28:20
F.I.L.A (Fall in Love Again),TWICE,07/08/2025 14:24:50
Humph!,Pentagon,07/08/2025 14:21:23
Hot n Cold,Katy Perry,07/08/2025 14:16:50
Regular - English Version,NCT 127,07/08/2025 14:14:05
Jackson,Johnny Cash,07/08/2025 14:14:04
Regular - English Version,NCT 127,07/08/2025 14:10:24
